snapshot_index,time_s,reference_time_s,reference_peak_abs,taylor_rel_l2,optimized_rel_l2,rel_l2_reduction_pct,taylor_aligned_rel_l2,optimized_aligned_rel_l2,aligned_reduction_pct,taylor_max_abs,optimized_max_abs,max_abs_reduction_pct,taylor_rmse,optimized_rmse,rmse_reduction_pct,taylor_nrmse,optimized_nrmse,taylor_snr_db,optimized_snr_db,snr_gain_db,taylor_pearson,optimized_pearson,taylor_alpha,optimized_alpha
1,0.650386126634443,0.649787088458658,5.79050063618588,1.20848914267853,1.20207325685921,0.530901,0.358406132247134,0.352995729636909,1.509573,6.73500855241942,6.89082328549047,-2.313505,0.225147493129943,0.223952181929028,0.530901,0.0213551763985345,0.0212418014673202,-1.644855,-1.598619,0.046236,0.941364650981997,0.94297418627332,1.97856152568941,1.97839895308923
2,0.949857704717534,0.95020563895727,3.64537554021543,1.21327476053458,1.19637634932634,1.392793,0.386131572629415,0.364981320258532,5.477473,4.79954136130845,4.59935438325435,4.170961,0.207241609623366,0.204355162090797,1.392793,0.0289861369122813,0.0285824199004263,-1.679183,-1.557356,0.121827,0.932870893318003,0.939386986398098,1.95104405440162,1.95916911018602
3,1.25024790727327,1.25014428761802,4.58375174389975,1.24662257634626,1.22294756617302,1.899132,0.452787229635534,0.421854235670337,6.831684,5.49603967404782,6.06823182706284,-10.410990,0.198916062452439,0.195138383553036,1.899132,0.0228089487219585,0.0223757766430315,-1.914700,-1.748157,0.166543,0.910968102303379,0.921370315403331,1.90153399128216,1.91728801970763
