时间_s,归一化振幅,物理震源振幅
0,-9.84949251974796e-09,-0.984949251974796
0.000459312236323759,-1.15050218214591e-08,-1.1505021821459
0.000918624472647518,-1.34303694024674e-08,-1.34303694024674
0.00137793670897128,-1.56680622566045e-08,-1.56680622566045
0.00183724894529504,-1.82670886531399e-08,-1.82670886531399
0.0022965611816188,-2.12838406707456e-08,-2.12838406707456
0.00275587341794256,-2.47831880687169e-08,-2.47831880687169
0.00321518565426631,-2.88397008601368e-08,-2.88397008601367
0.00367449789059007,-3.35390401098425e-08,-3.35390401098425
0.00413381012691383,-3.89795388869199e-08,-3.89795388869199
0.00459312236323759,-4.52739979830213e-08,-4.52739979830213
0.00505243459956135,-5.2551723992394e-08,-5.2551723992394
0.00551174683588511,-6.09608406680365e-08,-6.09608406680365
0.00597105907220887,-7.0670908154436e-08,-7.0670908154436
0.00643037130853263,-8.18758887873711e-08,-8.18758887873711
0.00688968354485639,-9.47975026848567e-08,-9.47975026848567
0.00734899578118015,-1.09689021373251e-07,-10.9689021373251
0.00780830801750391,-1.26839553245145e-07,-12.6839553245145
0.00826762025382767,-1.46578880780821e-07,-14.6578880780821
0.00872693249015142,-1.69282916236564e-07,-16.9282916236564
0.00918624472647518,-1.9537984996875e-07,-19.537984996875
0.00964555696279894,-2.25357073784433e-07,-22.5357073784433
0.0101048691991227,-2.59768970753479e-07,-25.9768970753479
0.0105641814354465,-2.9924567285524e-07,-29.924567285524
0.0110234936717702,-3.44502898739859e-07,-34.4502898739859
0.011482805908094,-3.96352995841244e-07,-39.6352995841244
0.0119421181444177,-4.55717324170949e-07,-45.5717324170949
0.0124014303807415,-5.23640133440332e-07,-52.3640133440332
0.0128607426170653,-6.01304100797982e-07,-60.1304100797982
0.013320054853389,-6.90047713531502e-07,-69.0047713531502
0.0137793670897128,-7.91384699672998e-07,-79.1384699672998
0.0142386793260365,-9.07025729677496e-07,-90.7025729677496
0.0146979915623603,-1.03890263432801e-06,-103.890263432801
0.0151573037986841,-1.18919540788191e-06,-118.919540788191
0.0156166160350078,-1.36036229133437e-06,-136.036229133437
0.0160759282713316,-1.55517325866623e-06,-155.517325866623
0.0165352405076553,-1.77674725919734e-06,-177.674725919734
0.0169945527439791,-2.02859360181959e-06,-202.859360181959
0.0174538649803028,-2.31465790207278e-06,-231.465790207278
0.0179131772166266,-2.63937305089381e-06,-263.937305089381
0.0183724894529504,-3.00771570455327e-06,-300.771570455327
0.0188318016892741,-3.42526883893632e-06,-342.526883893632
0.0192911139255979,-3.8982909580645e-06,-389.82909580645
0.0197504261619216,-4.43379259672721e-06,-443.379259672721
0.0202097383982454,-5.03962081042952e-06,-503.962081042952
0.0206690506345692,-5.72455240268956e-06,-572.455240268956
0.0211283628708929,-6.49839670015306e-06,-649.839670015306
0.0215876751072167,-7.37210875013945e-06,-737.210875013945
0.0220469873435404,-8.35791388318839e-06,-835.791388318839
0.0225062995798642,-9.46944465501427e-06,-946.944465501427
0.022965611816188,-1.07218912580601e-05,-1072.18912580601
0.0234249240525117,-1.21321665726077e-05,-1213.21665726077
0.0238842362888355,-1.37190871111626e-05,-1371.90871111626
0.0243435485251592,-1.55035711975694e-05,-1550.35711975694
0.024802860761483,-1.75088558139846e-05,-1750.88558139846
0.0252621729978068,-1.97607336443446e-05,-1976.07336443446
0.0257214852341305,-2.22878119421914e-05,-2228.78119421914
0.0261807974704543,-2.51217949534882e-05,-2512.17949534882
0.026640109706778,-2.82977917311315e-05,-2829.77917311315
0.0270994219431018,-3.18546512869798e-05,-3185.46512869798
