时间_s,无吸收边界带能量,PML边界带能量,PML相对无吸收比值
0,0,0,0
0.000459312236323759,0,0,0
0.000918624472647518,0,0,0
0.00137793670897128,0,0,0
0.00183724894529504,0,0,0
0.0022965611816188,1.17123048472132e-79,1.17123048472132e-79,5.2747531745559e-64
0.00275587341794256,3.03755553507228e-78,3.03755553507227e-78,1.36799339758687e-62
0.00321518565426631,1.16144402966865e-75,1.16144402966865e-75,5.23067889922742e-60
0.00367449789059007,3.81658345128617e-74,3.81658345128617e-74,1.71883638090408e-58
0.00413381012691383,4.02644788008054e-73,4.02644788008053e-73,1.81335091723574e-57
0.00459312236323759,1.27051299927927e-72,1.27051299927927e-72,5.72188187012348e-57
0.00505243459956135,4.17519239604741e-73,4.17519239604741e-73,1.88033949190392e-57
0.00551174683588511,1.38519351492172e-70,1.38519351492172e-70,6.23835699763748e-55
0.00597105907220887,2.59642356307717e-69,2.59642356307717e-69,1.16932521911703e-53
0.00643037130853263,2.30335080127797e-68,2.30335080127798e-68,1.0373369810339e-52
0.00688968354485639,1.283151706568e-67,1.283151706568e-67,5.77880154755947e-52
0.00734899578118015,4.80102957671047e-67,4.80102957671047e-67,2.1621915012668e-51
0.00780830801750391,1.15154727875359e-66,1.15154727875359e-66,5.18610789549416e-51
0.00826762025382767,1.33313478440972e-66,1.33313478440972e-66,6.00390531830225e-51
0.00872693249015142,3.63493747540508e-67,3.63493747540508e-67,1.63703030597494e-51
0.00918624472647518,1.96901895951433e-65,1.96901895951433e-65,8.86767305235416e-50
0.00964555696279894,2.16455533218031e-64,2.16455533218031e-64,9.74829058743008e-49
0.0101048691991227,1.24960412739824e-63,1.24960412739824e-63,5.62771668251135e-48
0.0105641814354465,5.07051711618928e-63,5.07051711618928e-63,2.28355789950458e-47
0.0110234936717702,1.58346150749317e-62,1.58346150749318e-62,7.13127665510179e-47
0.011482805908094,3.9042874354518e-62,3.9042874354518e-62,1.7583347439448e-46
0.0119421181444177,7.47089466456013e-62,7.47089466456014e-62,3.36459184274373e-46
0.0124014303807415,1.02481828033006e-61,1.02481828033006e-61,4.61537122541695e-46
0.0128607426170653,7.96038119013568e-62,7.96038119013569e-62,3.58503697616222e-46
0.013320054853389,4.72094007643638e-62,4.72094007643637e-62,2.12612239690773e-46
0.0137793670897128,5.94959981375528e-61,5.94959981375527e-61,2.67946155042318e-45
0.0142386793260365,4.12830964279166e-60,4.12830964279166e-60,1.85922537689465e-44
0.0146979915623603,1.73805260687829e-59,1.73805260687829e-59,7.82749307268739e-44
0.0151573037986841,5.48551897773315e-59,5.48551897773315e-59,2.47045812240528e-43
0.0156166160350078,1.40614893713812e-58,1.40614893713812e-58,6.33273182932266e-43
0.0160759282713316,3.0192535433773e-58,3.0192535433773e-58,1.3597509132891e-42
0.0165352405076553,5.4532470937126e-58,5.4532470937126e-58,2.45592415792033e-42
0.0169945527439791,8.12345667757554e-58,8.12345667757554e-58,3.65847964660896e-42
0.0174538649803028,9.45710334853212e-58,9.45710334853212e-58,4.25910071164535e-42
0.0179131772166266,7.80447181478761e-58,7.80447181478761e-58,3.5148216356901e-42
0.0183724894529504,6.20025119897033e-58,6.20025119897033e-58,2.79234489892863e-42
0.0188318016892741,2.52720007307554e-57,2.52720007307554e-57,1.13814973073937e-41
0.0192911139255979,1.29061574175929e-56,1.29061574175929e-56,5.81241657366563e-41
0.0197504261619216,4.64735106227443e-56,4.64735106227443e-56,2.0929808512319e-40
0.0202097383982454,1.30491044248844e-55,1.30491044248844e-55,5.8767941825428e-40
0.0206690506345692,3.05782409129259e-55,3.05782409129259e-55,1.37712154381098e-39
0.0211283628708929,6.18047841129491e-55,6.1804784112949e-55,2.78344002700791e-39
0.0215876751072167,1.09153320193468e-54,1.09153320193468e-54,4.91582852149553e-39
0.0220469873435404,1.68222300019961e-54,1.68222300019961e-54,7.57605887685305e-39
0.0225062995798642,2.22751905182422e-54,2.22751905182422e-54,1.00318539717562e-38
0.022965611816188,2.4528906518501e-54,2.4528906518501e-54,1.10468374256527e-38
0.0234249240525117,2.16661571020398e-54,2.16661571020398e-54,9.7575697051297e-39
0.0238842362888355,1.85666461261303e-54,1.85666461261303e-54,8.36167405751603e-39
0.0243435485251592,3.94912953847728e-54,3.94912953847728e-54,1.77852983179241e-38
0.024802860761483,1.48968635928977e-53,1.48968635928977e-53,6.70895093259632e-38
0.0252621729978068,4.78996847940637e-53,4.78996847940637e-53,2.1572100258971e-37
0.0257214852341305,1.25284157069571e-52,1.25284157069571e-52,5.64229683093946e-37
0.0261807974704543,2.78400611625844e-52,2.78400611625844e-52,1.25380489077787e-36
0.026640109706778,5.41688279875202e-52,5.41688279875202e-52,2.43954713539692e-36
0.0270994219431018,9.37288215531388e-52,9.37288215531388e-52,4.22117085820592e-36
0.0275587341794256,1.44900958296458e-51,1.44900958296458e-51,6.52575901789554e-36
0.0280180464157493,1.99197707695533e-51,1.99197707695533e-51,8.97106722150661e-36
0.0284773586520731,2.39911378824963e-51,2.39911378824963e-51,1.08046479627805e-35
0.0289366708883968,2.46792451809969e-51,2.46792451809969e-51,1.11145439400923e-35
0.0293959831247206,2.13608424338773e-51,2.13608424338773e-51,9.62006820255297e-36
0.0298552953610443,1.8690400266678e-51,1.8690400266678e-51,8.41740796764164e-36
0.0303146075973681,3.32368253367483e-51,3.32368253367483e-51,1.49685354201558e-35
0.0307739198336919,1.02672904874502e-50,1.02672904874502e-50,4.62397656133855e-35
0.0312332320700156,2.95506889374994e-50,2.95506889374994e-50,1.33084471687464e-34
0.0316925443063394,7.16538196104537e-50,7.16538196104536e-50,3.22700115297311e-34
0.0321518565426631,1.49995426569625e-49,1.49995426569625e-49,6.75519347206241e-34
0.0326111687789869,2.77982186478086e-49,2.77982186478086e-49,1.25192047143834e-33
0.0330704810153107,4.62953119157965e-49,4.62953119157964e-49,2.08495549492982e-33
0.0335297932516344,6.97156912340708e-49,6.97156912340708e-49,3.13971561063638e-33
0.0339891054879582,9.48107007497252e-49,9.48107007497252e-49,4.26989436567198e-33
0.0344484177242819,1.15431362097943e-48,1.15431362097943e-48,5.19856639331165e-33
0.0349077299606057,1.23715384806925e-48,1.23715384806925e-48,5.57164560916466e-33
0.0353670421969295,1.14416526332977e-48,1.14416526332977e-48,5.15286225358222e-33
0.0358263544332532,9.40605778543162e-49,9.40605778543162e-49,4.23611183374952e-33
0.036285666669577,9.60567833322827e-49,9.60567833322827e-49,4.32601293621677e-33
0.0367449789059007,2.01140917068735e-48,2.01140917068735e-48,9.05858159159715e-33
0.0372042911422245,5.59203357878615e-48,5.59203357878614e-48,2.51842803416646e-32
0.0376636033785483,1.40372304044155e-47,1.40372304044155e-47,6.32180656186395e-32
0.038122915614872,3.04461590560751e-47,3.04461590560751e-47,1.37117310579803e-31
0.0385822278511958,5.82155872724435e-47,5.82155872724435e-47,2.62179697147331e-31
0.0390415400875195,1.00015698221565e-46,1.00015698221565e-46,4.50430661241838e-31
0.0395008523238433,1.56169058509585e-46,1.56169058509585e-46,7.03322913710569e-31
0.0399601645601671,2.22673704103275e-46,2.22673704103275e-46,1.00283321082472e-30
0.0404194767964908,2.89578595224416e-46,2.89578595224416e-46,1.30414605354715e-30
0.0408787890328146,3.4104430276749e-46,3.4104430276749e-46,1.5359269948605e-30
0.0413381012691383,3.59071472700793e-46,3.59071472700793e-46,1.61711415065467e-30
0.0417974135054621,3.3328162478513e-46,3.33281624785131e-46,1.50096700119175e-30
0.0422567257417858,2.78866696750768e-46,2.78866696750768e-46,1.2559039515728e-30
0.0427160379781096,2.63363543125064e-46,2.63363543125064e-46,1.18608395468101e-30
0.0431753502144334,4.39778457494603e-46,4.39778457494603e-46,1.98058609729826e-30
0.0436346624507571,1.07860487632749e-45,1.07860487632749e-45,4.8576045191085e-30
0.0440939746870809,2.58492480952436e-45,2.58492480952436e-45,1.16414664089547e-29
0.0445532869234046,5.48060516611029e-45,5.48060516611029e-45,2.46824513838591e-29
0.0450125991597284,1.03285145522156e-44,1.03285145522156e-44,4.65154942886491e-29
0.0454719113960522,1.75799999932714e-44,1.75799999932714e-44,7.91732814188702e-29
0.0459312236323759,2.73437015673994e-44,2.73437015673994e-44,1.2314508418987e-28
0.0463905358686997,3.91076876517647e-44,3.91076876517647e-44,1.76125367535809e-28
0.0468498481050234,5.14994380556591e-44,5.14994380556591e-44,2.31932850037256e-28
0.0473091603413472,6.22347626880753e-44,6.22347626880753e-44,2.80280454051507e-28
0.047768472577671,6.84730127368202e-44,6.84730127368202e-44,3.08375034646479e-28
0.0482277848139947,6.78353745060237e-44,6.78353745060237e-44,3.05503367347866e-28
0.0486870970503185,6.03170191167376e-44,6.03170191167376e-44,2.71643704818239e-28
0.0491464092866422,5.11868223724001e-44,5.11868223724001e-44,2.30524954162621e-28
0.049605721522966,5.46797780356357e-44,5.46797780356357e-44,2.4625582798599e-28
0.0500650337592898,9.78318233049694e-44,9.78318233049694e-44,4.40595362981236e-28
0.0505243459956135,2.23221443249845e-43,2.23221443249845e-43,1.00530000864111e-27
0.0509836582319373,4.88785171348578e-43,4.88785171348579e-43,2.20129271554968e-27
0.051442970468261,9.62486085191894e-43,9.62486085191894e-43,4.3346519746195e-27
0.0519022827045848,1.70976077646826e-42,1.70976077646826e-42,7.70007799579516e-27
0.0523615949409085,2.77274352589332e-42,2.77274352589332e-42,1.24873267100071e-26
0.0528209071772323,4.14263605590938e-42,4.14263605590938e-42,1.86567741977251e-26
0.0532802194135561,5.73045153056543e-42,5.73045153056543e-42,2.58076593777192e-26
0.0537395316498798,7.34652445005276e-42,7.34652445005276e-42,3.30858047757259e-26
0.0541988438862036,8.70484427358332e-42,8.70484427358332e-42,3.9203133426828e-26
0.0546581561225273,9.47284195207704e-42,9.47284195207704e-42,4.26618874855137e-26
0.0551174683588511,9.38829104622836e-42,9.38829104622835e-42,4.22811040574398e-26
0.0555767805951749,8.45940174513063e-42,8.45940174513063e-42,3.80977585471476e-26
0.0560360928314986,7.24886944053023e-42,7.24886944053023e-42,3.26460057112293e-26
