项目,数值
差分阶数,10
khMax/pi,0.6
SA绝对误差阈值,0.0001
Taylor通带最大SA绝对误差,0.00915585585382961
优化系数通带最大SA绝对误差,7.24321826377494e-05
改善倍数,126.405908539581
误差定义,|k_num*Delta - k*Delta|

系数项,Taylor,优化系数
c_1,1.21124267580746,1.23717720156044
c_2,-0.089721679689456,-0.108727049806825
c_3,0.013842773437802,0.0237950229290865
c_4,-0.001765659877271,-0.0052569485184926
c_5,0.000118679488701,0.000758608093783266
