频率_Hz,归一化振幅谱
0,7.56663426581511e-10
0.53153520784478,0.0053265786444666
1.06307041568956,0.0211812709841627
1.59460562353434,0.0471926181941352
2.12614083137912,0.0827536021413881
2.6576760392239,0.127039306630323
3.18921124706868,0.179030740319952
3.72074645491346,0.237543967668337
4.25228166275824,0.301263514329813
4.78381687060302,0.368778878369502
5.3153520784478,0.438622892743873
5.84688728629258,0.509310650339691
6.37842249413736,0.579377720583685
6.90995770198214,0.647416453912382
7.44149290982692,0.712109282660785
7.9730281176717,0.772258077686031
8.50456332551648,0.826808801245645
9.03609853336126,0.874870899186946
9.56763374120604,0.915731089696856
10.0991689490508,0.948861421979209
10.6307041568956,0.973921686974883
11.1622393647404,0.990756455198986
11.6937745725852,0.999387186760996
12.2253097804299,1
12.7568449882747,0.992929793948442
13.2883801961195,0.978641493849468
13.8199154039643,0.957709227761749
14.3514506118091,0.930794247095642
14.8829858196538,0.898622377384804
15.4145210274986,0.861961731550575
15.9460562353434,0.82160134110522
16.4775914431882,0.77833126649369
17.009126651033,0.732924641691997
17.5406618588777,0.686121995836044
18.0721970667225,0.638618081325088
18.6037322745673,0.591051328286815
19.1352674824121,0.543995943571716
19.6668026902569,0.497956581817958
20.1983378981016,0.453365438975772
20.7298731059464,0.410581556500753
21.2614083137912,0.369892077869401
21.792943521636,0.331515168017479
22.3244787294808,0.295604289965599
22.8560139373255,0.262253529949962
23.3875491451703,0.231503671087956
23.9190843530151,0.203348733981096
24.4506195608599,0.177742728560297
24.9821547687047,0.154606392765408
25.5136899765494,0.13383372826585
26.0452251843942,0.115298179487396
26.576760392239,0.0988583380599442
27.1082956000838,0.084363089064197
27.6398308079286,0.0716561470460909
28.1713660157733,0.0605799578963349
28.7029012236181,0.0509789668501772
29.2344364314629,0.0427022727981922
29.7659716393077,0.0356057047848291
30.2975068471525,0.0295533681651345
30.8290420549972,0.0244187156932194
31.360577262842,0.0200852032343296
31.8921124706868,0.0164465912973016
32.4236476785316,0.0134069526790681
32.9551828863764,0.0108804437038169
33.4867180942211,0.00879089231179153
34.0182533020659,0.00707125105342079
34.5497885099107,0.00566295726952252
35.0813237177555,0.00451523672558983
35.6128589256002,0.00358438099435303
36.144394133445,0.00283302316204959
36.6759293412898,0.00222943112908887
37.2074645491346,0.00174683299224372
37.7389997569794,0.00136278479521062
38.2705349648242,0.00105858734167674
38.8020701726689,0.000818755773974416
39.3336053805137,0.000630543201999816
39.8651405883585,0.000483517775922066
40.3966757962033,0.000369191176358077
40.9282110040481,0.000280695485610358
41.4597462118928,0.000212504740196784
41.9912814197376,0.00016019708678277
42.5228166275824,0.000120253313195233
43.0543518354272,8.98875513155823e-05
43.585887043272,6.69061035089301e-05
44.1174222511167,4.95905897291997e-05
44.6489574589615,3.66019160694141e-05
45.1804926668063,2.69019011252531e-05
45.7120278746511,1.96897436703087e-05
46.2435630824958,1.43508584190781e-05
46.7750982903406,1.04159350431969e-05
47.3066334981854,7.52838164720693e-06
47.8381687060302,5.41859307176448e-06
48.369703913875,3.88373440553448e-06
48.9012391217197,2.77195042126227e-06
49.4327743295645,1.97010303011937e-06
49.9643095374093,1.3943028822229e-06
50.4958447452541,9.82640103302009e-07
51.0273799530989,6.8963536212838e-07
51.5589151609436,4.82028666883025e-07
52.0904503687884,3.3560215284587e-07
52.6219855766332,2.32797212172844e-07
53.153520784478,1.60937984230627e-07
53.6850559923228,1.10914594424242e-07
54.2165912001675,7.62124240615474e-08
54.7481264080123,5.21996957256817e-08
55.2796616158571,3.56061452908905e-08
55.8111968237019,2.41417672093393e-08
56.3427320315467,1.62176114991588e-08
56.8742672393915,1.07410905080514e-08
57.4058024472362,6.96648735670615e-09
57.937337655081,4.3874174460226e-09
58.4688728629258,2.66223755320862e-09
59.0004080707706,1.56641442922877e-09
59.5319432786153,9.62529567135709e-10
60.0634784864601,7.38107754643161e-10
60.5950136943049,7.07107883269504e-10
61.1265489021497,7.08780476745586e-10
61.6580841099945,6.9120588578315e-10
62.1896193178392,6.54050424053785e-10
62.721154525684,6.08821316428449e-10
63.2526897335288,5.6622846481822e-10
63.7842249413736,5.32736212045862e-10
64.3157601492184,5.10235405775265e-10
64.8472953570631,4.9726683354307e-10
65.3788305649079,4.90876818120189e-10
65.9103657727527,4.88153729231493e-10
66.4419009805975,4.8697677029545e-10
66.9734361884423,4.86112657879984e-10
67.504971396287,4.85004237078368e-10
68.0365066041318,4.83503243495947e-10
68.5680418119766,4.8165806382829e-10
69.0995770198214,4.79580336438966e-10
69.6311122276662,4.77376919171748e-10
70.1626474355109,4.75124862145187e-10
70.6941826433557,4.72869640441533e-10
71.2257178512005,4.7063269958272e-10
71.7572530590453,4.68420850876482e-10
72.2887882668901,4.66233608770823e-10
72.8203234747348,4.64067884609409e-10
73.3518586825796,4.61920512683169e-10
73.8833938904244,4.59789143879033e-10
74.4149290982692,4.57672344933014e-10
74.946464306114,4.55569414455117e-10
75.4779995139587,4.53480013865283e-10
76.0095347218035,4.51404167461222e-10
76.5410699296483,4.49341899229831e-10
77.0726051374931,4.47293183522017e-10
77.6041403453379,4.45258132049753e-10
78.1356755531826,4.43236605917403e-10
78.6672107610274,4.41228711525749e-10
79.1987459688722,4.39234353093643e-10
79.730281176717,4.37253448444257e-10
80.2618163845618,4.35285973067575e-10
80.7933515924065,4.33331846226214e-10
81.3248868002513,4.31391056579447e-10
81.8564220080961,4.29463507016895e-10
82.3879572159409,4.27549095097094e-10
82.9194924237857,4.25647836637039e-10
83.4510276316304,4.2375962955833e-10
83.9825628394752,4.21884360492323e-10
84.51409804732,4.20022042685211e-10
85.0456332551648,4.18172562824097e-10
85.5771684630096,4.1633585702669e-10
86.1087036708543,4.14511872682776e-10
86.6402388786991,4.12700545674637e-10
87.1717740865439,4.109017744753e-10
87.7033092943887,4.09115534342249e-10
88.2348445022335,4.07341658950819e-10
88.7663797100782,4.0558017497668e-10
89.297914917923,4.03830948502879e-10
89.8294501257678,4.02093902522962e-10
90.3609853336126,4.00368938656327e-10
90.8925205414574,3.98656002029574e-10
91.4240557493021,3.96955030678963e-10
91.9555909571469,3.95265917953924e-10
92.4871261649917,3.93588573201963e-10
93.0186613728365,3.9192297401164e-10
93.5501965806813,3.90268976493233e-10
94.081731788526,3.88626544477786e-10
94.6132669963708,3.86995597632414e-10
95.1448022042156,3.85376017319616e-10
95.6763374120604,3.83767773151537e-10
96.2078726199052,3.82170735076501e-10
96.7394078277499,3.80584867971767e-10
97.2709430355947,3.79010047453979e-10
97.8024782434395,3.77446203645848e-10
98.3340134512843,3.75893255322928e-10
98.8655486591291,3.74351143343633e-10
99.3970838669738,3.72819766049013e-10
99.9286190748186,3.71299046827138e-10
100.460154282663,3.69788898949196e-10
100.991689490508,3.68289235108204e-10
101.523224698353,3.66800028434284e-10
102.054759906198,3.65321112200085e-10
102.586295114043,3.63852487243432e-10
103.117830321887,3.62394025472338e-10
103.649365529732,3.60945641817302e-10
104.180900737577,3.59507291666121e-10
104.712435945422,3.58078880294686e-10
105.243971153266,3.56660336514429e-10
105.775506361111,3.55251553494701e-10
106.307041568956,3.53852483330379e-10
106.838576776801,3.52463050904032e-10
107.370111984646,3.51083151817249e-10
107.90164719249,3.49712737530353e-10
108.433182400335,3.48351709033353e-10
108.96471760818,3.4700000672054e-10
109.496252816025,3.45657557462489e-10
110.027788023869,3.44324252547582e-10
110.559323231714,3.43000070835663e-10
111.090858439559,3.41684892472006e-10
111.622393647404,3.40378664888034e-10
112.153928855249,3.39081292149052e-10
112.685464063093,3.37792732000338e-10
113.216999270938,3.36512870063314e-10
113.748534478783,3.35241704253125e-10
114.280069686628,3.33979105136702e-10
114.811604894472,3.32725036763388e-10
115.343140102317,3.3147939987772e-10
115.874675310162,3.30242136791358e-10
116.406210518007,3.29013177290306e-10
116.937745725852,3.27792455315877e-10
117.469280933696,3.2657988895742e-10
118.000816141541,3.25375410014875e-10
118.532351349386,3.24178979902007e-10
119.063886557231,3.22990536984869e-10
119.595421765075,3.21809932416062e-10
120.12695697292,3.20637244590393e-10
120.658492180765,3.19472261352577e-10
121.19002738861,3.18314973767101e-10
121.721562596455,3.17165359109873e-10
122.253097804299,3.16023296144654e-10
122.784633012144,3.14888772532602e-10
123.316168219989,3.13761639157316e-10
123.847703427834,3.12641952404229e-10
124.379238635678,3.11529506548895e-10
124.910773843523,3.10424351426158e-10
125.442309051368,3.09326394767763e-10
125.973844259213,3.08235588519727e-10
126.505379467058,3.07151902582162e-10
127.036914674902,3.06075187636758e-10
127.568449882747,3.05005463067816e-10
128.099985090592,3.0394263492279e-10
128.631520298437,3.02886669605165e-10
129.163055506282,3.01837460936095e-10
129.694590714126,3.00795043582211e-10
130.226125921971,2.99759227645049e-10
130.757661129816,2.98730046358583e-10
131.289196337661,2.97707445170461e-10
131.820731545505,2.96691342668675e-10
132.35226675335,2.95681707640814e-10
132.883801961195,2.94678473319391e-10
133.41533716904,2.9368159649917e-10
133.946872376885,2.92691001361253e-10
134.478407584729,2.91706662818645e-10
135.009942792574,2.90728521870593e-10
135.541478000419,2.89756518662276e-10
136.073013208264,2.88790607001459e-10
136.604548416108,2.87830713517254e-10
137.136083623953,2.86876831878996e-10
137.667618831798,2.85928879815207e-10
138.199154039643,2.84986813011726e-10
138.730689247488,2.84050586799629e-10
139.262224455332,2.83120158547593e-10
139.793759663177,2.82195468297385e-10
140.325294871022,2.81276491251267e-10
140.856830078867,2.8036315743561e-10
141.388365286711,2.7945542519062e-10
141.919900494556,2.78553268675645e-10
142.451435702401,2.77656607529029e-10
142.982970910246,2.76765438289991e-10
143.514506118091,2.75879672489012e-10
144.046041325935,2.74999295958628e-10
144.57757653378,2.74124222924364e-10
145.109111741625,2.73254480946491e-10
145.64064694947,2.72389937096337e-10
146.172182157314,2.71530633901462e-10
146.703717365159,2.70676509745566e-10
147.235252573004,2.698274561469e-10
147.766787780849,2.68983497941691e-10
148.298322988694,2.68144660056476e-10
148.829858196538,2.6731071402135e-10
149.361393404383,2.66481822439251e-10
149.892928612228,2.65657824773999e-10
150.424463820073,2.64838670874466e-10
150.955999027917,2.64024381242507e-10
151.487534235762,2.63214880813914e-10
152.019069443607,2.62410150020298e-10
152.550604651452,2.616101071355e-10
153.082139859297,2.60814720020888e-10
153.613675067141,2.60024033905728e-10
154.145210274986,2.59237959121012e-10
154.676745482831,2.58456420899014e-10
155.208280690676,2.57679467791935e-10
155.739815898521,2.56906994819444e-10
156.271351106365,2.56139044625724e-10
156.80288631421,2.55375470734696e-10
157.334421522055,2.54616327212953e-10
157.8659567299,2.53861536141999e-10
158.397491937744,2.53111052935521e-10
158.929027145589,2.5236486500246e-10
159.460562353434,2.51622939917182e-10
159.992097561279,2.50885215153984e-10
160.523632769124,2.50151680006681e-10
161.055167976968,2.49422329886551e-10
161.586703184813,2.48697096346987e-10
162.118238392658,2.47975969087687e-10
162.649773600503,2.47258897333773e-10
163.181308808347,2.4654586990911e-10
163.712844016192,2.45836871964123e-10
164.244379224037,2.45131813816531e-10
164.775914431882,2.44430688224543e-10
165.307449639727,2.43733484149453e-10
165.838984847571,2.43040142706883e-10
166.370520055416,2.42350666223575e-10
166.902055263261,2.41664987212281e-10
167.433590471106,2.40983102869009e-10
167.96512567895,2.40304978570147e-10
168.496660886795,2.39630591541277e-10
169.02819609464,2.38959917415044e-10
169.559731302485,2.38292897308281e-10
170.09126651033,2.37629538696985e-10
170.622801718174,2.36969803620984e-10
171.154336926019,2.36313653991004e-10
171.685872133864,2.35661064976951e-10
172.217407341709,2.350120269544e-10
172.748942549553,2.3436649812276e-10
173.280477757398,2.33724459358577e-10
173.812012965243,2.33085857978506e-10
174.343548173088,2.3245071075615e-10
174.875083380933,2.31818966963727e-10
175.406618588777,2.31190602101441e-10
175.938153796622,2.30565575932393e-10
176.469689004467,2.29943901397479e-10
177.001224212312,2.29325532360606e-10
177.532759420156,2.28710447158382e-10
178.064294628001,2.28098599104301e-10
178.595829835846,2.27490005370327e-10
179.127365043691,2.26884603686835e-10
179.658900251536,2.26282395610084e-10
180.19043545938,2.25683361201101e-10
180.721970667225,2.25087478198537e-10
181.25350587507,2.24494707716372e-10
181.785041082915,2.23905006217085e-10
182.316576290759,2.23318402937373e-10
182.848111498604,2.2273484227633e-10
183.379646706449,2.22154314410313e-10
183.911181914294,2.21576750711368e-10
184.442717122139,2.21002201517015e-10
184.974252329983,2.20430590713307e-10
185.505787537828,2.19861925377936e-10
186.037322745673,2.19296205345475e-10
186.568857953518,2.18733341363409e-10
187.100393161363,2.18173362564217e-10
187.631928369207,2.17616305664911e-10
188.163463577052,2.17062038170173e-10
188.694998784897,2.1651061021367e-10
189.226533992742,2.15961970392164e-10
189.758069200586,2.15416126974337e-10
190.289604408431,2.14872969978134e-10
190.821139616276,2.14332578245318e-10
191.352674824121,2.13794922183899e-10
191.884210031966,2.1325994482262e-10
192.41574523981,2.12727574827763e-10
192.947280447655,2.12197945410168e-10
193.4788156555,2.11670967381074e-10
194.010350863345,2.11146598789607e-10
194.541886071189,2.10624820328862e-10
195.073421279034,2.10105632961096e-10
195.604956486879,2.0958903061283e-10
196.136491694724,2.0907498503084e-10
196.668026902569,2.08563451334916e-10
197.199562110413,2.08054458893923e-10
197.731097318258,2.0754797062907e-10
198.262632526103,2.07043924471831e-10
198.794167733948,2.06542335897814e-10
199.325702941792,2.06043224481473e-10
199.857238149637,2.05546489991642e-10
200.388773357482,2.05052190916537e-10
200.920308565327,2.04560296309248e-10
201.451843773172,2.04070778205903e-10
201.983378981016,2.03583643060765e-10
202.514914188861,2.03098843235491e-10
203.046449396706,2.02616386718749e-10
203.577984604551,2.02136233617997e-10
204.109519812395,2.01658385395411e-10
204.64105502024,2.01182826464507e-10
205.172590228085,2.00709525443187e-10
205.70412543593,2.00238474731723e-10
206.235660643775,1.99769661222522e-10
206.767195851619,1.99303069038598e-10
207.298731059464,1.98838696673485e-10
207.830266267309,1.98376494104267e-10
208.361801475154,1.97916484007338e-10
208.893336682998,1.97458648529102e-10
209.424871890843,1.97002957333292e-10
209.956407098688,1.96549410022098e-10
210.487942306533,1.96097966075779e-10
211.019477514378,1.95648635011921e-10
211.551012722222,1.95201423992162e-10
212.082547930067,1.94756250451176e-10
