time_s,vz_taylor,vz_optimized,vx_taylor,vx_optimized
0.124129132,5.58186321e-55,-1.93793878e-46,-4.71243506e-54,-1.5472318e-46
0.125928105,1.72859977e-53,-2.24334769e-46,7.72810007e-54,-1.89865935e-46
0.127727078,4.53641133e-53,-2.01617364e-46,3.50529984e-53,-1.87862211e-46
0.129526051,7.10331166e-53,-1.41424247e-46,7.10678739e-53,-2.12824598e-46
0.131325024,5.75936194e-53,-3.53857118e-47,8.73090865e-53,-3.86669818e-46
0.133123996,-5.17485399e-53,3.51447799e-46,2.78286117e-53,-6.98422885e-46
0.134922969,-3.02654978e-52,1.8155708e-45,-1.72595064e-52,-5.44451567e-46
0.136721942,-6.59044725e-52,5.9003636e-45,-5.29666722e-52,1.86574114e-45
0.138520915,-9.0896607e-52,1.42085098e-44,-9.12373265e-52,9.59448325e-45
0.140319888,-6.1261661e-52,2.57613299e-44,-9.5571837e-52,2.52377384e-44
0.142118861,7.9122572e-52,3.17034958e-44,-9.17067363e-53,4.57740295e-44
0.143917834,3.60797814e-51,8.74688789e-45,2.16804248e-51,5.3635918e-44
0.145716807,7.25678426e-51,-8.26950006e-44,5.65360226e-51,7.71087055e-45
0.14751578,9.68587059e-51,-2.83494481e-43,8.87882844e-51,-1.54638465e-43
0.149314753,7.44530752e-51,-5.87968397e-43,8.8874879e-51,-4.85219049e-43
0.151113726,-2.96322884e-51,-8.54803043e-43,2.35429169e-51,-9.41684534e-43
0.152912699,-2.25818587e-50,-6.9922854e-43,-1.18613517e-50,-1.25187792e-42
0.154711672,-4.80731962e-50,5.48970089e-43,-3.018223e-50,-7.79419017e-43
0.156510645,-7.36570924e-50,3.65527773e-42,-4.55651029e-50,1.4620959e-42
0.158309617,-9.90586295e-50,8.84197979e-42,-5.6891073e-50,6.39794628e-42
0.16010859,-1.38228887e-49,1.45725903e-41,-8.54726033e-50,1.38188895e-41
0.161907563,-2.08716889e-49,1.59957748e-41,-1.82432085e-49,2.06028971e-41
0.163706536,-2.66918536e-49,4.02413644e-42,-3.88348592e-49,1.88213755e-41
0.165505509,-6.38631698e-50,-3.29805173e-41,-5.95597632e-49,-4.59877838e-42
0.167304482,1.03088233e-48,-1.02238141e-40,-3.04494851e-49,-6.37822077e-41
0.169103455,4.02069588e-48,-1.92337489e-40,1.5922203e-48,-1.62135731e-40
0.170902428,9.6389634e-48,-2.53511477e-40,6.5994293e-48,-2.71761964e-40
0.172701401,1.65063544e-47,-1.81972326e-40,1.53114475e-47,-3.09336633e-40
0.174500374,1.79225354e-47,1.70994111e-40,2.43752405e-47,-1.25113963e-40
0.176299347,-1.4205476e-48,9.35187376e-40,2.2033144e-47,4.64833754e-40
0.17809832,-6.4712874e-47,2.07654623e-39,-1.50154007e-47,1.56657134e-39
0.179897293,-1.90789722e-46,3.17711897e-39,-1.16817078e-46,2.99637593e-39
0.181696265,-3.61741518e-46,3.22060606e-39,-2.97309333e-46,4.00709325e-39
0.183495238,-4.68457563e-46,5.77096363e-40,-5.04863022e-46,3.1000211e-39
0.185294211,-2.53856035e-46,-6.51060354e-39,-5.51915019e-46,-1.79251208e-39
0.187093184,6.86489506e-46,-1.86306274e-38,-6.34521938e-47,-1.23793838e-38
0.188892157,2.73885116e-45,-3.30324629e-38,1.46358009e-45,-2.80656592e-38
0.19069113,5.81521411e-45,-4.11591013e-38,4.35108729e-45,-4.31899478e-38
0.192490103,8.56313647e-45,-2.74954492e-38,8.05963125e-45,-4.45947087e-38
0.194289076,7.47062849e-45,2.7522067e-38,1.01906189e-44,-1.1971737e-38
0.196088049,-3.39534886e-45,1.37365713e-37,5.64414285e-45,7.55432512e-38
0.197887022,-3.06438504e-44,2.90435404e-37,-1.29405618e-44,2.23458259e-37
0.199685995,-7.60993476e-44,4.25515403e-37,-5.17100773e-44,3.97016554e-37
0.201484968,-1.26703142e-43,4.13616418e-37,-1.07400819e-43,4.95145949e-37
0.203283941,-1.41838671e-43,6.86425037e-38,-1.5455122e-43,3.42147981e-37
0.205082914,-4.6021224e-44,-7.84208019e-37,-1.3288873e-43,-2.7366196e-37
0.206881886,2.5727142e-43,-2.16098861e-36,5.27910626e-44,-1.4843979e-36
0.208680859,8.29302623e-43,-3.70450509e-36,4.99969622e-43,-3.14142263e-36
0.210479832,1.58146929e-42,-4.48025214e-36,1.22106089e-42,-4.57391141e-36
0.212278805,2.11515869e-42,-2.94783881e-36,1.99545871e-42,-4.43842221e-36
0.214077778,1.59023305e-42,2.65600733e-36,2.20110848e-42,-8.82353412e-37
0.215876751,-1.21478504e-42,1.33045557e-35,7.45932782e-43,7.71975515e-36
0.217675724,-7.40890879e-42,2.75186627e-35,-3.68644426e-42,2.13096764e-35
0.219474697,-1.6835118e-41,3.94820752e-35,-1.18166025e-41,3.61713175e-35
0.22127367,-2.6267687e-41,3.80222227e-35,-2.22290512e-41,4.32518726e-35
0.223072643,-2.7548648e-41,8.19086859e-36,-2.93746938e-41,2.83208743e-35
0.224871616,-7.17089831e-42,-6.26638917e-35,-2.21575713e-41,-2.40272809e-35
0.226670589,5.02112884e-41,-1.73438297e-34,1.483569e-41,-1.20953407e-34
0.228469562,1.51577921e-40,-2.94269964e-34,9.46686733e-41,-2.46981901e-34
0.230268534,2.77492635e-40,-3.54347384e-34,2.13709575e-40,-3.49033938e-34
0.232067507,3.59900086e-40,-2.44006655e-34,3.30557523e-40,-3.30538986e-34
0.23386648,2.68074739e-40,1.54529398e-34,3.46051932e-40,-6.86410313e-35
0.235665453,-1.74404973e-40,8.97143498e-34,1.02163117e-40,5.31956211e-34
0.237464426,-1.11207964e-39,1.87280707e-33,-5.73128275e-40,1.44509916e-33
0.239263399,-2.49761602e-39,2.69570335e-33,-1.74759414e-39,2.40903191e-33
